nodes,edges,solution method,solutions seen,adds,solution cost,time
7,18,exhaustive,262143,4718592,7.39834563766817,1.3947076797485352
7,18,greedy,193,780,8.359173603117451,0.0016710758209228516
7,19,exhaustive,262143,4718592,7.39834563766817,1.623643398284912
7,19,greedy,193,780,8.359173603117451,0.001592397689819336
7,20,exhaustive,524287,9961472,7.39834563766817,3.032097816467285
7,20,greedy,213,860,8.359173603117451,0.0018639564514160156
7,21,exhaustive,1048575,20971520,7.39834563766817,5.9097065925598145
7,21,greedy,223,878,9.8309518948453,0.001998424530029297
8,7,exhaustive,127,896,6.123105625617661,0.0004525184631347656
8,7,greedy,10,26,6.123105625617661,0.00010967254638671875
8,8,exhaustive,255,2048,8.359173603117451,0.0011625289916992188
8,8,greedy,32,112,10.950844619618653,0.00022649765014648438
8,9,exhaustive,511,4608,8.359173603117451,0.0023369789123535156
8,9,greedy,41,146,10.950844619618653,0.00028228759765625
8,10,exhaustive,1023,10240,6.23606797749979,0.0035924911499023438
8,10,greedy,24,76,6.242640687119285,0.00021076202392578125
8,11,exhaustive,2047,22528,6.23606797749979,0.007875204086303711
8,11,greedy,35,118,6.242640687119285,0.0002791881561279297
8,12,exhaustive,4095,49152,6.23606797749979,0.015584468841552734
8,12,greedy,39,132,6.242640687119285,0.0003402233123779297
8,13,exhaustive,8191,106496,6.23606797749979,0.03962397575378418
8,13,greedy,43,146,6.242640687119285,0.0003466606140136719
8,14,exhaustive,16383,229376,6.23606797749979,0.07410550117492676
8,14,greedy,47,160,6.242640687119285,0.0005686283111572266
8,15,exhaustive,32767,491520,6.23606797749979,0.1506032943725586
8,15,greedy,122,462,6.23606797749979,0.0009772777557373047
8,16,exhaustive,65535,1048576,6.23606797749979,0.32634544372558594
8,16,greedy,139,530,6.23606797749979,0.001199960708618164
8,17,exhaustive,131071,2228224,6.23606797749979,0.6922321319580078
8,17,greedy,156,596,6.23606797749979,0.0014178752899169922
8,18,exhaustive,262143,4718592,6.23606797749979,1.5173358917236328
8,18,greedy,174,666,6.23606797749979,0.001424551010131836
8,19,exhaustive,524287,9961472,6.23606797749979,2.966034412384033
8,19,greedy,193,740,6.23606797749979,0.0017514228820800781
8,20,exhaustive,1048575,20971520,6.23606797749979,6.313280344009399
8,20,greedy,219,854,8.123105625617661,0.0019927024841308594
8,21,exhaustive,2097151,44040192,6.23606797749979,13.02315092086792
8,21,greedy,240,936,8.123105625617661,0.0022377967834472656
8,22,exhaustive,2097151,44040192,6.23606797749979,12.829533338546753
8,22,greedy,240,936,8.123105625617661,0.002168893814086914
8,23,exhaustive,4194303,92274688,6.23606797749979,27.07970404624939
8,23,greedy,262,1022,8.123105625617661,0.002784252166748047
8,24,exhaustive,8388607,192937984,6.23606797749979,58.20042157173157
8,24,greedy,286,1118,8.123105625617661,0.002749204635620117
8,25,exhaustive,16777215,402653184,6.23606797749979,125.67509150505066
